nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0.000,175.380,24.110,126.869,295.084,102.768,514.591,458.068,749.114,240.401,360.380,8319.667,11023.958,8129.793,8241.797,8273.198,1.000
0.000,0.012,0.023,0.033,0.024,0.094,0.078,0.175,0.178,0.151,0.155,1.937,1.791,1.899,1.903,1.989,1.000
0.007,0.005,0.009,0.004,0.006,0.007,0.007,0.005,0.005,0.005,0.005,0.004,0.005,0.007,0.006,0.005,0.004
